-1.0045,0
-0.7265,0
0.4843,1
-2.4626,0
-1.1125,0
1.4519,1
1.7801,1
0.8207,1
1.6609,1
-2.5854,0
1.7038,1
-1.8306,0
3.6081,1
-0.4905,0
1.3015,1
-2.1107,0
-0.7212,0
2.8970,1
-2.1284,0
-0.2753,1
-1.7419,0
0.5482,1
3.0120,1
0.0158,1
-1.7664,0
-0.5202,0
0.3667,1
0.3860,1
-0.9949,0
0.1221,0
-2.5364,0
0.1372,0
-0.1164,1
1.1394,1
0.4755,0
-1.7868,0
0.3656,1
0.9764,1
2.7037,1
1.3238,1
-2.6393,0
-1.4755,0
0.2879,1
-0.7983,0
2.6102,1
1.7050,1
3.7532,1
-3.8266,0
2.1791,1
-1.3510,0
1.5052,1
0.8495,1
-0.2347,0
-1.7395,0
-1.8350,0
-1.2583,0
-1.5894,0
2.9647,1
1.7210,1
1.0398,1
-0.3539,0
-1.1948,0
1.7342,1
-1.4585,0
-1.6580,0
2.5264,1
3.1339,1
0.0849,0
0.6526,0
0.8139,1
-0.7339,0
1.4589,1
1.0509,1
-0.1670,1
0.1878,0
-0.7818,0
2.0684,1
2.1714,1
1.5277,1
-1.7626,0
-1.4101,0
3.3712,1
-2.3405,0
-0.1318,1
-1.8655,0
2.8515,1
2.9198,1
-1.0166,0
-1.3286,0
0.3966,1
3.4378,1
0.0656,0
0.1982,1
-1.0052,0
-1.6410,0
1.7810,1
-2.6753,0
0.3731,0
1.1591,1
-0.0092,0
